match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,won_margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,,players_name,total_score,Avr,SR,4s,6s,Bowler_Name,WKTS,Economy,,Stadium_name,,Ave inning score,Ave PP score,Ave death over score
17,04-12-2023,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Group,Chennai Super Kings,Field,172,8,175,6,Rajasthan Royals,Runs,3,Ravichandran Ashwin,Jos Buttler,52,Washington Sundar,2--21,,Glenn Maxwell,400,33.33,183.48,29,31,Jason Behrendorff,14,9.21,,,,,,
18,4/13/2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Gujarat Titans,Group,Gujarat Titans,Field,153,8,154,4,Gujarat Titans,Wickets,6,Mohit Sharma,Shubman Gill,67,Harshal Patel,2--23,,Jos Buttler,392,28,139,42,14,Harshal Patel,14,9.65,,,,,,
19,4/14/2023,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Group,Kolkata Knight Riders,Field,205,7,228,4,Sunrisers Hyderabad,Runs,23,Harry Brook,Harry Brook,100,Kuldeep Yadav,4--35,,Kyle Mayers,379,29.15,144.1,38,22,Trent Boult,13,8.21,,,,,,
20,4/15/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Group,Delhi Capitals,Field,174,6,151,9,Royal Challengers Bangalore,Runs,23,Virat Kohli,Virat Kohli,50,Yuzvendra Chahal,4--41,,Shikhar Dhawan,373,41.44,142.91,49,12,Deepak Chahar,13,8.73,,,,,,
21,4/15/2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,Group,Lucknow Super Giants,Field,159,8,161,8,Punjab Kings,Wickets,2,Sikandar Raza,KL Rahul,74,T Natarajan,2--34,,Wriddhiman Saha,371,23.18,129.26,47,8,Nathan Ellis,13,8.92,,,,,,
22,4/16/2023,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Group,Mumbai Indians,Field,186,5,185,6,Mumbai Indians,Wickets,5,Venkatesh Iyer,Venkatesh Iyer,104,Maheesh Theekshana,4--33,,Sanju Samson,362,30.16,153.39,25,24,Yash Thakur,13,9.07,,,,,,
23,4/16/2023,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,Group,Rajasthan Royals,Field,177,7,179,7,Rajasthan Royals,Wickets,3,Shimron Hetmyer,Shimron Hetmyer,56,Odean Smith,4--30,,Sai Sudharsan,362,51.71,141.4,33,12,Mayank Markande,12,7.89,,,,,,
24,4/17/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Group,Royal Challengers Bangalore,Field,218,8,226,6,Chennai Super Kings,Runs,8,Devon Conway,Devon Conway,83,Lockie Ferguson,3--23,,Nicholas Pooran,358,29.83,172.94,26,26,Mitchell Marsh,12,8.42,,,,,,
25,4/18/2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,Group,Sunrisers Hyderabad,Field,178,10,192,5,Mumbai Indians,Runs,14,Cameron Green,Cameron Green,64,T Natarajan,3--37,,Prabhsimran Singh,358,25.57,150.42,38,19,Axar Patel,11,7.19,,,,,,
26,4/19/2023,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Group,Rajasthan Royals,Field,144,6,154,7,Lucknow Super Giants,Runs,10,Marcus Stoinis,Kyle Mayers,51,Avesh Khan,3--30,,Hardik Pandya,346,31.45,136.75,26,15,Naveen-ul-Haq,11,7.82,,,,,,
27,4/20/2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Royal Challengers Bangalore,Group,Punjab Kings,Field,150,10,174,4,Royal Challengers Bangalore,Runs,24,Mohammed Siraj,Faf du Plessis,84,Josh Hazlewood,3--28,,Tilak Varma,343,42.87,164.11,26,23,Sunil Narine,11,7.97,,,,,,
28,4/20/2023, Arun Jaitley Stadiumi,Delhi Capitals,Kolkata Knight Riders,Group,Delhi Capitals,Field,128,6,127,10,Delhi Capitals,Wickets,4,Ishant Sharma,David Warner,57,Umran Malik,4--28,,Rohit Sharma,332,20.75,132.8,35,17,Maheesh Theekshana,11,8,,,,,,
29,4/21/2023,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Group,Chennai Super Kings,Field,138,3,134,7,Chennai Super Kings,Wickets,7,Ravindra Jadeja,Ruturaj Gaikwad,77,Dwayne Bravo,3--23,,Ajinkya Rahane,326,32.6,172.48,24,16,Mark Wood,11,8.12,,,,,,
30,4/22/2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Gujarat Titans,Group,Gujarat Titans,Bat,128,7,135,6,Gujarat Titans,Runs,7,Mohit Sharma,KL Rahul,68,Yuzvendra Chahal,5--40,,Jitesh Sharma,309,23.76,156.06,22,21,Kuldeep Yadav,10,7.36,,,,,,
31,4/22/2023,Wankhede Stadium,Mumbai Indians,Punjab Kings,Group,Mumbai Indians,Field,201,6,214,8,Punjab Kings,Runs,13,Sam Curran,Cameron Green,67,Josh Hazlewood,4--25,,Vijay Shankar,301,37.62,160.1,27,15,Suyash Sharma,10,8.23,,,,,,
32,4/23/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Group,Rajasthan Royals,Field,189,9,182,6,Royal Challengers Bangalore,Runs,7,Glenn Maxwell,Glenn Maxwell,77,Axar Patel,2--10,,Shimron Hetmyer,299,37.37,151.77,12,23,Ishant Sharma,10,8.24,,,,,,
33,4/23/2023,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Group,Kolkata Knight Riders,Field,186,8,235,4,Chennai Super Kings,Runs,49,Ajinkya Rahane,Ajinkya Rahane,71,Daniel Sams,4--30,,Jason Roy,285,35.62,151.59,36,12,Sandeep Sharma,10,8.6,,,,,,
